artist,name,username,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres,date
Elvis Presley,Jailhouse Rock,Spotify,False,146480,65,0.647,-9.538,167.396,0.41,0.582,0.915,0.0715,0.0755,"['rock-and-roll', 'rockabilly']",1950
Harry Belafonte,Banana Boat (Day-O),Spotify,False,183133,69,0.797,-16.881,122.545,0.885,0.105,0.419,0.108,0.0969,['calypso'],1950
Big Mama Thornton,Hound Dog,Spotify,False,181000,54,0.563,-10.862,133.285,0.706,0.542,0.785,0.355,0.0962,"['acoustic blues', 'blues', 'harmonica blues', 'rhythm and blues', 'texas blues']",1980
Bobby Darin,Beyond the Sea,Spotify,False,172480,69,0.521,-7.456,136.483,0.723,0.516,0.569,0.257,0.0369,"['adult standards', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']",1950
Peggy Lee,Fever,Spotify,False,201333,54,0.742,-19.187,137.473,0.0906,0.0899,0.351,0.113,0.158,"['adult standards', 'torch song', 'vocal jazz']",1980
Ritchie Valens,We Belong Together,Spotify,False,116626,69,0.684,-13.71,106.522,0.872,0.247,0.768,0.113,0.0281,"['rock-and-roll', 'rockabilly']",1950
Paul Anka,Put Your Head on My Shoulder,Spotify,False,155080,57,0.549,-8.526,116.068,0.906,0.433,0.486,0.0774,0.0327,"['adult standards', 'canadian pop', 'easy listening', 'rock-and-roll']",1960
Nat King Cole,Unforgettable,Spotify,False,191973,68,0.349,-13.507,136.094,0.92,0.182,0.178,0.143,0.031,"['adult standards', 'easy listening', 'lounge', 'soul', 'swing']",1950
Jerry Lee Lewis,Great Balls Of Fire,Spotify,False,111535,68,0.533,-7.227,78.67,0.563,0.729,0.884,0.159,0.0714,"['piano rock', 'rock-and-roll', 'rockabilly']",1960
Ray Charles,I've Got a Woman,Spotify,False,171466,68,0.556,-4.729,199.373,0.833,0.61,0.665,0.258,0.213,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul']",1950
Billie Holiday,I'll Be Seeing You,Spotify,False,211533,67,0.355,-20.479,90.495,0.989,0.0304,0.188,0.116,0.0361,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'soul']",1950
Elvis Presley,Hound Dog,Spotify,False,136026,66,0.494,-8.492,86.895,0.733,0.756,0.949,0.76,0.0499,"['rock-and-roll', 'rockabilly']",1950
Frank Sinatra,I've Got You Under My Skin - Remastered 1998,Spotify,False,223760,66,0.583,-12.612,127.145,0.448,0.247,0.592,0.107,0.04,"['adult standards', 'easy listening', 'lounge']",1950
The Flamingos,I Only Have Eyes for You,Spotify,False,202773,66,0.552,-12.41,88.554,0.916,0.313,0.303,0.12,0.0296,['doo-wop'],1950
Chet Baker,I Fall In Love Too Easily,Spotify,False,201440,65,0.532,-19.136,128.607,0.94,0.0657,0.292,0.0946,0.0406,"['cool jazz', 'jazz', 'jazz trumpet', 'vocal jazz']",1950
Dean Martin,Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,Spotify,False,181626,65,0.612,-12.204,128.629,0.88,0.144,0.343,0.203,0.0352,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",1950
Ritchie Valens,La Bamba - Single Version,Spotify,False,126960,65,0.516,-6.419,75.099,0.787,0.809,0.939,0.303,0.0545,"['rock-and-roll', 'rockabilly']",1950
Ray Charles,"Hallelujah, I Love Her So",Spotify,False,155506,67,0.696,-5.954,73.203,0.792,0.547,0.623,0.155,0.169,"['adult standards', 'classic soul', 'jazz blues', 'piano blues', 'soul']",1950
Little Richard,Tutti Frutti,Spotify,False,144226,63,0.555,-3.866,184.835,0.793,0.658,0.937,0.118,0.0541,"['blues', 'rock-and-roll', 'rockabilly', 'soul']",1950
Billie Holiday,Blue Moon,Spotify,False,207826,65,0.64,-11.429,124.323,0.982,0.27,0.55,0.141,0.0702,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'soul']",1950
Bill Haley & His Comets,(We're Gonna) Rock Around The Clock,Spotify,False,129893,63,0.811,-6.317,90.686,0.205,0.859,0.784,0.0761,0.168,"['rock-and-roll', 'rockabilly']",1950
Elvis Presley,Blue Suede Shoes,Spotify,False,119200,64,0.557,-7.706,95.252,0.654,0.66,0.962,0.138,0.056,"['rock-and-roll', 'rockabilly']",1950
Frank Sinatra,Come Fly With Me - Remastered 1998,Spotify,False,199093,64,0.494,-11.376,134.106,0.847,0.338,0.499,0.165,0.0464,"['adult standards', 'easy listening', 'lounge']",1950
Chet Baker,My Funny Valentine,Spotify,False,141133,63,0.438,-26.44,133.32,0.941,0.00756,0.277,0.109,0.0382,"['cool jazz', 'jazz', 'jazz trumpet', 'vocal jazz']",1950
The Platters,Only You (And You Alone),Spotify,False,166466,62,0.394,-10.812,84.003,0.906,0.309,0.291,0.144,0.0296,"['adult standards', 'easy listening', 'rock-and-roll', 'rockabilly']",1960
Buddy Holly,Everyday,Spotify,False,129120,62,0.747,-12.562,135.562,0.584,0.219,0.498,0.107,0.0371,"['classic rock', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly']",1950
Dion & The Belmonts,A Teenager In Love,Spotify,False,158253,61,0.555,-9.123,78.986,0.671,0.377,0.619,0.128,0.0295,"['brill building pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",1950
Little Richard,Long Tall Sally (The Thing),Spotify,False,127426,62,0.474,-5.139,184.694,0.755,0.608,0.888,0.0928,0.0825,"['blues', 'rock-and-roll', 'rockabilly', 'soul']",1950
Ella Fitzgerald,Cheek To Cheek,Spotify,False,353266,61,0.655,-13.4,121.999,0.573,0.31,0.665,0.119,0.0866,"['adult standards', 'jazz', 'jazz blues', 'soul', 'swing']",1950
Dinah Washington,What A Diff'rence A Day Made,Spotify,False,151866,61,0.355,-17.803,93.419,0.926,0.117,0.165,0.109,0.0303,"['jazz blues', 'soul', 'vocal jazz']",1950
Frank Sinatra,You Make Me Feel So Young - Remastered 1998,Spotify,False,177400,63,0.577,-11.556,125.165,0.378,0.307,0.575,0.18,0.0428,"['adult standards', 'easy listening', 'lounge']",1950
Muddy Waters,Mannish Boy,Spotify,False,321133,60,0.598,-10.882,111.129,0.44,0.735,0.615,0.681,0.0973,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues']",1970
Bobby Darin,Mack the Knife,Spotify,False,184333,60,0.549,-12.291,82.755,0.76,0.529,0.464,0.206,0.108,"['adult standards', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']",1950
Fats Domino,Blueberry Hill,Spotify,False,147880,59,0.489,-9.702,133.341,0.74,0.499,0.829,0.156,0.0271,"['louisiana blues', 'new orleans blues', 'piano blues', 'rock-and-roll', 'rockabilly']",1950
Nat King Cole,Smile,Spotify,False,173266,58,0.2,-19.203,80.384,0.862,0.136,0.263,0.302,0.0329,"['adult standards', 'easy listening', 'lounge', 'soul', 'swing']",1960
Buddy Holly,That'll Be The Day,Spotify,False,150133,59,0.536,-7.774,115.24,0.467,0.637,0.798,0.0838,0.0343,"['classic rock', 'folk rock', 'mellow gold', 'rock-and-roll', 'rockabilly']",1950
Ritchie Valens,"Come On, Let's Go",Spotify,False,124586,58,0.616,-8.101,81.402,0.788,0.724,0.809,0.128,0.042,"['rock-and-roll', 'rockabilly']",1950
