artist,name,username,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres,date
Damien Rice,The Blower's Daughter,MelodicWanderer,False,286653,61,0.342,-13.569,133.113,0.134,0.2,0.0743,0.341,0.0324,"['acoustic pop', 'irish rock', 'irish singer-songwriter', 'neo mellow', 'singer-songwriter']",2003
Jay-Jay Johanson,Only for You,MelodicWanderer,False,230240,10,0.482,-12.924,122.593,0.852,0.259,0.401,0.105,0.0603,"['swedish electropop', 'swedish singer-songwriter', 'trip hop']",2007
Lily Allen,Somewhere Only We Know,MelodicWanderer,False,208154,54,0.314,-10.191,172.021,0.935,0.286,0.278,0.0999,0.035,"['dance pop', 'electropop', 'neo mellow']",2013
Jacob Lee,Reality,MelodicWanderer,False,235194,33,0.597,-5.838,85.864,0.123,0.642,0.294,0.27,0.0285,['australian pop'],2019
Stephen Sanchez,Easy On My Eyes,MelodicWanderer,False,238173,46,0.501,-13.042,122.334,0.948,0.105,0.203,0.0875,0.041,['gen z singer-songwriter'],2022
New West,Those Eyes,MelodicWanderer,False,220750,79,0.594,-8.297,120.048,0.709,0.348,0.248,0.317,0.0285,['toronto indie'],2023
Jack Savoretti,I Remember Us,MelodicWanderer,False,285520,29,0.424,-4.544,140.977,0.404,0.67,0.445,0.127,0.0326,['acoustic pop'],2021
Joji,Glimpse of Us,MelodicWanderer,False,233456,77,0.44,-9.258,169.914,0.891,0.317,0.268,0.141,0.0531,['viral pop'],2022
Gustavo Santaolalla,Never Let Me Down Again,MelodicWanderer,False,209748,39,0.477,-13.839,96.138,0.785,0.107,0.14,0.0829,0.0303,"['argentine ambient', 'latin classical', 'latin soundtrack', 'orchestral soundtrack', 'soundtrack']",2023
Arcane,Goodbye (from the series Arcane League of Legends),MelodicWanderer,False,230985,47,0.365,-11.775,164.885,0.663,0.318,0.0489,0.101,0.036,[],2021
Dawid Podsiadło,Let You Down,MelodicWanderer,False,227046,62,0.326,-8.003,110.046,0.168,0.369,0.0776,0.111,0.0272,"['polish pop', 'talent show']",2022
The Beautified Project,I Found a Way,MelodicWanderer,False,249197,5,0.621,-10.125,131.967,0.672,0.348,0.16,0.261,0.0298,['armenian indie'],2016
